Номер тега,Количество изображений с тегом,Человекочитаемое лаконичное представление,Субкатегория,Имя тэга на danbooru,Описание тега с danbooru,"Категория, присвоенная danbooru",Комментарии
482,97718,,,cleavage_cutout,"A [[clothing cutout]] that exposes a character's chest, [[breasts]], [[pectorals]] or [[cleavage]]. A cutout is a hole or opening that closes at both the upper and lower edges, in the same layer of clothing. Note that having a cleavage cutout doesn't necessarily mean the character has cleavage to begin with.",General,
483,97299,,,fox_girl,"A girl with real [[fox]]-like features, such as [[fox ears]] or a [[fox tail]].",General,
484,97222,,,crossed_arms,"Both arms are crossed in front of the body for a variety of reasons including acting tough or haughty, shivering from the cold, or a female [[breast hold|holding]] or [[covering breasts|covering]] her breasts.",General,
485,97085,,,table,A piece of furniture with a flat horizontal upper surface.,General,
486,97018,,,stuffed_toy,"A [[toy]] made from fabric and stuffed with [[stuffing|material]] like synthetic batting, cotton, straw, plastic beans, or similar. The toys can be crafted to create [[stuffed animal|animals]], [[character doll]]s, inanimate objects, or holiday-specific themes.",General,
487,96874,,,sharp_teeth,"When a character as depicted as having sharp, pointed [[teeth]]. Differs from [[fangs]] in that [b]all[/b] of the character's teeth are sharp.",General,
488,96798,,,standing_on_one_leg,Balancing on one leg with the other off the ground.,General,
489,95963,,,eating,The act of consuming [[food]].,General,
490,94953,,,high_ponytail,A [[ponytail]] that is tied high up at the back of the head.  Contrast with [[low ponytail]].,General,
491,94373,,,from_below,Perspective that has the viewer looking up toward a character.,General,
492,94821,,,cardigan,"An open-fronted light [[sweater]], typically held closed by [[buttons]] or a [[zipper]] in the front. Commonly seen in [[school uniform|school uniforms]].",General,
493,93709,,,garter_straps,"Straps that connect a garter belt to [[thighhighs]] to keep the thighhighs from falling down. This tag is used when only the garter straps are visible, not the entire garter belt. Sometimes also used to attached to [[thigh strap]]s.",General,
494,93394,,,cat,"A domesticated feline mammal. This tag can also be used for cat-related things like [[stuffed cat]]s, cat demons/monsters, and [[cathead|bodiless cat heads]].",General,
495,92925,,,tank_top,"A sleeveless top with wide straps, worn by both genders.",General,
496,92620,,,motion_lines,"In [[comic]]s, motion lines are abstract lines that appear around a moving object or person, to make it appear as if it is moving quickly.",General,
497,92344,,,wariza,"[b]Wariza[/b] (割座), also known as w-sitting or reverse tailor style sitting in English, is a [[sitting]] posture whereby the butt is on the floor and the legs are bent backwards on each side of the body. It is the traditional informal sitting style for Japanese women. If the legs are folded out to only one side, then it is called [[yokozuwari]].",General,
498,92550,,,oral,Any kind of stimulation of a persons' genitals with the [[tongue]] or mouth.,General,
499,92132,,,parody,"An imitation of another work, often for comic effect.",General,
500,92269,,,6+girls,An image containing six or more female characters. Male characters may also be present in addition to the female characters.,General,
501,91999,,,wolf_ears,For when a character has [[wolf]]-like ears.,General,
502,91944,,,leg_up,Any position where a single [[legs|leg]] is lifted into the air.,General,
503,91747,,,antenna_hair,"When two or more locks of hair stick out of a character's head. These are usually thin and resemble bunny ear antennas (or a cockroach, if you prefer). They're different from [[ahoge]], which have only one lock.",General,
504,91577,,,obi,"An obi (帯, おび) is a wide and long embroidered [[sash]] for a [[kimono]]. Also used to tie attire (usually a robe top) closed. Will often have an ornament in the front but off to the side.",General,
505,91244,,,shirt_lift,"When a person's [[shirt]] or similar top has been lifted up, often to show their [[bra]], [[breasts]], or [[bare pectorals]].",General,
506,91446,,,own_hands_together,When a single character touches their hands together.,General,
507,91037,,,black_nails,[[Fingernails]] and/or [[toenails]] that are colored black.,General,
508,91114,,,helmet,"A protective piece of [[armor]] designed to protect the cranium from damage. The design and shape can vary because of the time-period, setting, and what the helmet is to protect the cranium from.",General,
509,90926,,,frilled_sleeves,"Sleeves, [[detached sleeves|detached]] or otherwise, that end in [[frills]].",General,
510,90776,,,1other,"An image depicting a character of ambiguous or indeterminate gender, either because their face or features are [[ambiguous gender|not visible]], they're [[androgynous]], they're a genderless being or their gender is not canonically known.",General,
511,89850,,,clothes_pull,Clothing that has been pulled down to reveal the [[breasts]] or crotch.,General,
512,89814,,,crying,"The act of shedding [[tears]]. Typically due to the subject experiencing emotional event, especially [[sad]]ness.",General,
513,89344,,,red_necktie,A [[necktie]] that is colored red.,General,
514,89327,,,headgear,"Specialized head accessories that don't fall into the categories of [[tag_group:attire|clothing]] ([[hat]]s, [[hood]]s) or [[hair ornament]]s ([[hairband]]s, [[hairclip]]s). Often but not exclusively floating instead of being directly attached to its wearer.",General,
515,88971,,,pink_bow,A [[bow]] that's colored [[pink]].,General,
516,88673,,,sunlight,The light of the sun.,General,
517,88659,,,scrunchie,"A fabric-covered elastic [[hair tie]]. Usually worn in the [[hair scrunchie|hair]], but may also be worn on the [[wrist scrunchie|wrist]], [[arm scrunchie|arm]] or [[ankle scrunchie|ankle]] as a fashion accessory.",General,
518,88451,,,grass,A common word used to describe monocotyledonous green [[plant|plants]].,General,
519,88386,,,bound,"Tied up or restrained, whether sexually or non-sexually. Include [[restrained]] if the character is unable to move because of being bound.",General,
520,88295,,,blue_ribbon,A [[ribbon]] that's colored [[blue]].,General,
521,88039,,,white_apron,An [[apron]] that is white. Common in [[maid]] outfits.,General,
522,87755,,,frilled_skirt,A [[skirt]] with [[frills]]. Don't confuse with [[frilled dress]].,General,
523,87552,,,mouth_hold,[[Holding]] something with the mouth.,General,
524,87355,,,x_hair_ornament,A [[hair ornament]] in the shape of an X.,General,
525,87332,,,red_flower,A [[flower]] that is red.,General,
526,87172,,,wavy_mouth,"Not the same as [[:3]]. Wavy mouth is usually seen when the character is scared, sad, or embarrassed.",General,
527,87110,,,trembling,"Trembling is a reflex motion caused by cold, fear, or excitement. It can also denote instability.",General,
528,87049,,,crossed_legs,"Having one's [[legs]] crossing each other, whether one is [[sitting]], [[standing]] or [[lying]].",General,
529,86343,,,feathers,"The characteristic plumage of birds. Commonly seen on [[bird wings]] and [[angel wings]], or used as decorations in hair and clothes.",General,
530,86311,,,magical_girl,"A magical girl (魔法少女, [i]mahou shoujo[/i]) is a young girl with magical abilities, typically being chosen to fight evil and to protect the Earth by a mascot familiar. They often possess a secret identity they [[transformation|transform]] into through a [[henshin]] sequence, although the name can just refer to young girls who follow a plotline involving magic and a transformation.",General,
531,86306,,,moon,"A celestial body orbiting a [[planet]]. Please also tag with [[full moon]], [[gibbous moon]], or [[crescent moon]] as appropriate.",General,
532,86131,,,eyepatch,"A small flap or strip of cloth worn over an eye to protect it from damage or to cover up an injured eye. Favored by assassins, [[pirate]]s, and warlords.",General,
533,86050,,,light_smile,"A gentle/subtle smile, similar to that of the [i]Mona Lisa[/i]. This tag is considered distinct from smile:/wiki_pages?title=smile to help distinguish the two (see topic #6008).",General,
534,85354,,,fire,"A state, process, or instance of combustion in which fuel or other material is ignited and combined with oxygen, giving off light, heat, and flame.",General,
535,84990,,,3boys,An image depicting three male characters.,General,
536,84734,,,suit,"A set of [[formal clothes|formal]] Western-styled garments made from the same cloth, consisting of at least a [[collared shirt]], [[suit jacket]] and [[pants]] or [[skirt]].",General,
537,84806,,,red_shirt,A [[shirt]] that is colored [[red]].,General,
538,88076,,,light_blush,"The subject of the picture is visibly [[blush|blushing]], but only faintly.",General,
539,84703,,,thigh_gap,A gap between the upper [[thighs]] just under the crotch that on certain body types is visible when the knees or thighs are together.,General,
540,84409,,,ear_piercing,An ear [[piercing]] that is not through the earlobe.,General,
541,84376,,,plant,Living organisms belonging to the kingdom Plantae.,General,
542,84203,,,eyes_visible_through_hair,"When a person's eyes should be obscured by their hair, but are somehow not. An artistic quirk seen in some anime-styled drawings.",General,
543,84186,,,cross,"A symbol or object that consists of two intersecting perpendicular lines, with one or both lines divided in half by the intersection.",General,
544,83614,,,backpack,"A [[bag]] or case worn on the back to carry supplies, equipment, or personal belongings.  Most commonly secured on a person with two shoulder straps.",General,
545,83964,,,hair_tubes,"Cylindrical [[hair ornament]]s that separate strands of hair from the main body of hair. Often seen on [[Nagi (kannagi)|]], [[feena_(grandia)|Feena]], and [[Hakurei Reimu]].",General,
546,83556,,,mob_cap,"A mob cap or mob-cap is a round, gathered, or pleated cloth (usually linen) [[hat]] consisting of a caul to cover the hair, a frilled or ruffled brim, and (often) a [[hat ribbon|ribbon band]] to keep it in place (modern versions use elastic).",General,
547,86628,,,cloudy_sky,"A [[sky]] with a significant amount of [[cloud|clouds]]. Use some common sense with this tag; a sky with only a few scattered clouds, like post #3442541 or post #3545927, is not a cloudy sky. As a general rule, this tag should only be used for skies that are at least 50% covered by clouds (topic #14412).",General,
548,83370,,,white_pupils,For when the pupils of a character are white instead of the normal black.,General,
549,83252,,,sleeping,"Being in a state of relatively suspended sensory and motor activity, characterized by total or partial unconsciousness and the inactivity of nearly all voluntary muscles.",General,
550,83005,,,smartphone,A [[cellphone]] with more advanced features.,General,
551,85776,,,yaoi,"Any romantic or sexual interaction between males, whether mutual or one-sided.",General,
552,82868,,,denim,"A textile made from cotton, or cotton-blends. It is sturdy and exhibits diagonal ribbing. [[Pants]] made of denim are called [[jeans]], and are the most common use for the material. Denim can be of any color, but is most often blue.",General,
553,82752,,,gem,"A smooth precious stone, often used to make [[jewelry]]. For faceted precious stones, see [[crystal]].",General,
554,82544,,,red_bowtie,A [[bowtie]] that is colored red.,General,
555,82358,,,holding_cup,Someone [[holding]] any type of [[cup]].,General,
556,82306,,,horse_tail,Use when a character has a [[tail]] of a [[horse]].,General,
557,81554,,,elf,"A fantastical humanoid race characterized by their lithe frame, great finesse, youthful appearance despite long lifespans, and [[pointy ears]]. Codified by [[tolkien's_legendarium|Tolkienian literature]].",General,
558,82137,,,spiked_hair,"A term used to describe a variety of hairstyles in which the hair is formed into spikes. This hairstyle is largely seen on male characters from Shōnen manga and anime, though it is sometimes seen on females as well.",General,
559,81746,,,bara,Bara (Gei komi':[https://www.fujoshi.info/geikomi] in Japan) is a Japanese genre of manga and art (usually) by and for gay and bisexual men. With heavy focus on the masculine features and appeal of [[mature male|men]].,General,
560,81347,,,looking_up,"A character looking up, with their head bent back. See [[upturned eyes]] for when the eyes are looking up but the head is not bent back.",General,
561,81289,,,bottle,A typically glass or plastic container with a narrow neck and opening made to store liquids.,General,
562,81277,,,black_leotard,A [[leotard]] that's colored [[black]].,General,
563,81106,,,blazer,"A type of [[jacket]] resembling a [[suit jacket]], but cut more casually, usually worn as part of a [[school uniform]]. Oftentimes features [[lapels]].",General,
564,80673,,,suspenders,"Suspenders or Galluses, known as Braces in British English, are elastic fabric straps worn over the shoulders to hold up trousers. The entire strap of braces may be elasticated, or only at attachment ends, with the most of the straps being of woven cloth with either a X-Back or Y-back crosspatch and leather end tabs. Braces typically attach to trousers with clips or, less commonly nowadays, with buttons. In British English the term suspenders or suspender belt refers to a [[garter belt]], used to hold up [[thighhighs|stockings]].",General,
565,80994,,,?,"A standalone question mark in the image, either inside or outside a [[speech bubble]]. Usually denotes wonder, [[confused|confusion]], or curiosity.",General,
566,80659,,,couple,"Two persons who are shown to be [b]mutually[/b] attracted to each other. That is to say, don't add this tag if one of the group is uncertain or shying away.",General,
567,80466,,,clenched_teeth,A character clenching their [[teeth]].,General,
568,79844,,,juliet_sleeves,"Long, tight sleeves with a puff at the top, inspired by fashions of the Italian Renaissance and named after Shakespeare's [[romeo_and_juliet|tragic heroine]].",General,
569,79823,,,bug,"An insect, spider, arthropod, or any other similar kind of creature. Bugs are usually invertebrates, with a segmented body, multiple pairs of jointed limbs, and sometimes wings.",General,
570,79482,,,scar_on_face,A [[scar]] on any part of a character's face.,General,
571,79627,,,tassel,"An ornament found at the end of rope or cord composed of a tuft of hanging threads. Can be found in a variety of styles, and is most often found on the drawstrings of [[curtains]], but can be found on wearable decorations as well.",General,
572,78828,,,shoulder_armor,Small pieces of [[armor]] designed to fit over the wearer's shoulders.,General,
573,78736,,,animal_print,"An article of clothing or an object that has a printed design of an animal, or is modeled after the fur or external appearance of an animal.",General,
574,78548,,,black_necktie,A [[necktie]] that is colored black.,General,
575,78496,,,stuffed_animal,A [[stuffed toy]] that resembles an [[animal]] or [[creature]].,General,
576,78535,,,grey_shirt,Any style of [[shirt]] that's colored [[grey]].,General,
577,78303,,,topless_female,"Nude from the waist up. Not wearing a top, but wearing bottoms. For example, wearing [[pants]] or a [[skirt]] without a [[shirt]] or [[bra]].",General,
578,78278,,,holding_gun,A [[gun]] being [[holding|held]] by a character.,General,
579,78090,,,t-shirt,"A collarless casual upper garment derived from [[shirt]]s intended to be [[undershirt|worn underneath other clothing]].  They are traditionally short sleeved, but various sleeve lengths are now common.",General,
580,77948,,,crown,A ceremonial type of headgear traditionally worn by [[royal|royalty]].,General,
581,77916,,,sneakers,"[[Shoes]] designed for use in sporting activity, though commonly used as general purpose footwear. Known as [i]trainers[/i] in British English, though the more old school style of sneakers would be known as [i]plimsolls[/i] or [i]pumps[/i]. Known as [i]runners[/i] in Australia and Ireland.",General,
582,77253,,,yellow_background,Backgrounds with a solid or predominantly [[yellow]] color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
583,76791,,,straight_hair,"Hair that is straight, without any [[curly hair|curls]], curves, or [[wavy hair|waves]].",General,
584,80540,,,skirt_lift,"When a [[skirt]] is lifted up to reveal the crotch. This includes when the skirt is [[lifting own clothes|lifted by the wearer]], [[lifting another's clothes|by another person]], or passively raised up.",General,
585,76742,,,fellatio,The formal term for a blowjob. A type of [[oral]] sexual intercourse sex in which someone actively uses their mouth to stimulate their partner's [[penis]]. This is in contrast to [[irrumatio]] where the person with the penis is actively thrusting into their partner's mouth.,General,
586,80254,,,straddling,A variation of posture meaning to place one leg on one side and the other on the other side of an object to stand or sit astride of such as to straddle a fence or a horse.,General,
587,76618,,,feathered_wings,[[Wings]] that are covered by [[feathers]].,General,
588,76586,,,curtains,"Curtains are sheets of cloth used for privacy and to block light, usually hung over [[window|windows]].",General,
589,76344,,,;d,"Actually ;D, in lower case due to technical restraints. Represents a wide, open-mouthed smile or grin like [[:D]], except that the character is also [[one_eye_closed|winking]].",General,
590,76141,,,slit_pupils,Pupils that are non-circular that appear to be stretched vertically or horizontally.,General,
591,78910,,,single_hair_bun,A hairstyle where the hair is wrapped into a single round [[hair bun]].,General,
592,76076,,,grabbing_another's_breast,Grabbing someone else's [[breasts|breast]]. See [[grabbing own breast]] for grabbing one's own breasts.,General,
593,76053,,,outstretched_arms,"When both arms are stretched out, away from the body.",General,
594,75892,,,sex_from_behind,"[[Sex]] from a rear position. This includes [[doggystyle]] (sex on [[all fours]]), the [[prone bone]] position, sex while [[bent over]], [[standing sex]] from behind, and any other position from behind.",General,
595,75811,,,cover,"Cover art of any type, whether real or mocked-up.",General,
596,75068,,,outstretched_arm,"When one arm is stretched out, away from the body. If both arms are stretched out, use [[outstretched arms]] instead.",General,
597,74977,,,robot,An autonomous mechanical or electronic machine.,General,
598,74912,,,facing_viewer,"A character facing the viewer but with their [[closed eyes|eyes closed]], [[covered eyes|covered]], or [[sideways_glance|looking in another direction]].",General,
599,74785,,,pointing,"The act of directing attention to something, usually by using one's index finger. Don't confuse with [[index finger raised]].",General,
600,74832,,,eyewear_on_head,When a character is wearing a pair of eyewear on their head rather than over their eyes.,General,
601,74504,,,skin_fang,"A skin-colored [[fang]] that is drawn as part of the outline of the mouth as opposed to being a separate, white protruding tooth.",General,
602,74134,,,on_stomach,"[[Lying]] flat on one's stomach. Generally, only the stomach, crotch and maybe thighs need to be completely down flat on the surface.",General,
603,73970,,,lifting_own_clothes,When a person lifts up their own clothing. See [[lifting another's clothes]] for when one person lifts another's clothing.,General,
604,75060,,,>_<,"Eyes tightly [[closed eyes|closed]] in a literal >_< shape. This usually indicates extreme [[happy|happiness]], but it can also be used to indicate pain, [[embarrassed|embarrassment]], or [[sad]]ness.",General,
605,73791,,,sisters,Two or more sisters in one image.,General,
606,73910,,,black_belt,A [[belt]] that is colored [[black]].,General,
607,73640,,,crossed_bangs,Strands of [[bangs]] that overlap each other in a cross formation over the forehead.,General,
608,73640,,,puffy_long_sleeves,"[[Long sleeves]] that loosely puff out along their entire length. See post #1894007, post #2046829, and post #2614098 for examples.",General,
609,73627,,,head_wings,"[[Wings]] that are attached to the head. A common feature on the [[demon girl]], but other creatures may have them, such as [[bird_girl|bird girls]]. If a character's hair is actually wing-shaped, use [[hair wings]]. If the wings are attached to a character's headgear rather than being part of the character's body, use [[winged helmet]] or [[winged hat]].",General,
610,73596,,,knife,"A tool or [[weapon]] consisting of a short blade and a handle, used for cutting, stabbing, or slashing.",General,
611,73333,,,bandaid,"Known generically as adhesive bandages, or plasters in UK English, bandaids are used to cover minor [[cuts]], scrapes, or [[injury|injuries]], though they can also be used to cover the vulva or nipples. Not to be confused with [[maebari]] or [[pasties]].",General,
612,73301,,,girl_on_top,For any situation (not necessarily sexual) where a girl is on top of another character.,General,
613,73027,,,tiara,"A [[hairband]] made of metal, with a simple design and which may be embellished with gems or other ornaments. Often worn by fantasy heroines, princesses or pop idols.",General,
614,73002,,,holding_phone,"[[Holding]] a [[phone]] in the hands. If it is nestled between the cheek and shoulder, use [[cradling phone]] instead.",General,
615,72893,,,bdsm,"BDSM ([[bondage]], discipline/[[femdom|dominance]], [[sadism|submission/sadism]], [[masochism]]) is a catchall term for fetish practices revolving around [[bondage|physical restraint]], discipline, and other 'rough treatment' of the partner.",General,
616,72722,,,pink_dress,A [[dress]] that is mainly [[pink]] in color.,General,
617,72662,,,messy_hair,"Very [[unkempt]] hair, mainly because of bad grooming or having just risen out of bed.",General,
618,72371,,,formal_clothes,"A scene characterised by characters wearing formal clothes such as [[suit]]s, [[dress shirt]]s, [[gown]]s, [[evening gown]]s, [[cocktail dress]]es, [[waistcoat]], [[pants]], and [[dress shoes]].",General,
619,72262,,,knee_boots,"[[Boots]] that are roughly knee-high. Knee boots may end slightly below the knee, but should not extend above the knee.",General,
620,72255,,,kiss,"A form of expression to show affection. Done by pressing your lips towards another person's, usually to his/her lips too.",General,
621,71912,,,red_background,Backgrounds with a solid or predominantly [[red]] color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
622,71930,,,fishnets,"A material with an open, diamond shaped knit. It's most often used as a material for stockings, tights or bodystockings and is usually black. Ironically unsuited for catching fish.",General,
623,71830,,,pink_flower,A [[flower]] that is pink.,General,
624,71769,,,blue_sailor_collar,A [[sailor collar]] that is colored [[blue]].,General,
625,71632,,,crossover,A crossover is when two or more characters from unrelated copyrights are shown together in one scene.,General,
626,71349,,,breasts_out,When both [[breasts]] are pulled out through or above clothing. Use [[one breast out]] when one only breast is exposed.,General,
627,71249,,,pantyshot,"Non-deliberate view of a pair of [[panties]] underneath a [[skirt]] or [[dress]]. Should not be used for deliberate acts, like a skirt being actively lifted [[lifting own clothes|by the wearer]] or [[lifting another's clothes|by other people nearby]].",General,
628,71240,,,hat_ribbon,"One or more [[ribbon]]s tied to a [[hat]] of any type, often appears alongside a [[hat bow]].",General,
629,71154,,,strapless_leotard,A [[leotard]] that doesn't have any shoulder straps to keep it in place on the upper body.,General,
630,71125,,,hand_on_own_chest,"When a character places or rests one of their hands on their own chest, without fondling or groping themselves.",General,
631,70977,,,red_jacket,A [[jacket]] that's colored [[red]].,General,
632,71102,,,wing_collar,"A collar with folded-down corners, which form the wings.",General,
633,70972,,,hooded_jacket,"A [[jacket]] with an attached [[hood]]. Oftentimes features a [[drawstring]], sometimes a pullover, often a zip-up.",General,
634,70494,,,veil,An article of clothing that is intended to cover some part of the head or face. Commonly known to be made from sheer fabric.,General,
635,70880,,,underwear_only,"Wearing only [[underwear]], such as [[panties]], a [[bra]], [[lingerie]], etc. Should not be used for bikinis or swimsuits.",General,
636,70472,,,katana,"A type of Japanese [[sword]] ([i]nihontou[/i]), and is often called a samurai sword because of its historical associations with feudal-era Japan.",General,
637,70441,,,extra_ears,A character possessing both human ears and [[animal ears]].,General,
638,70954,,,rabbit_tail,Use this tag when a character has a [[rabbit]]-like [[tail]].,General,
639,70040,,,short_twintails,"[[Twintails]] that are [[short hair|short]], around shoulder length or less.",General,
640,69752,,,white_shoes,[[Shoes]] that are colored white.,General,
641,69744,,,brooch,"A clasp or pin that typically has a jewel attached, often secured to a piece of garment.",General,
642,69916,,,black_bra,A [[bra]] or other upper-body [[lingerie]] colored black. May appear to be a [[grey bra]] depending on lighting.,General,
643,69662,,,goggles,"[[Eyewear]] that protects the user against dust, water, glare, etc.",General,
644,69320,,,polka_dot,A pattern composed of same-sized circles spaced equally.,General,
645,69287,,,building,"Any man-made enclosed, permanent and rigid structure used or intended for supporting, sheltering any use or continuous occupancy.",General,
646,69209,,,clenched_hand,"A single clenched hand, in which all five fingers are brought very close together at the palm; the thumb is brought either over or within the other four fingers.",General,
647,69113,,,dog_ears,"A character who has, or wears as a [[fashion]] accessory, dog ears (on their head). Also known as [i]Inumimi[/i].",General,
648,69005,,,demon_tail,Long whip-like tail mostly seen in pictures with demons or demon girls.,General,
649,69111,,,outside_border,"When a character or object appears either on top of or outside a [[border]], [[letterboxed|letterbox]] or [[pillarboxed|pillarbox]] surrounding the rest of an image or panel. Do not use with text of any kind.",General,
650,68943,,,green_skirt,A [[skirt]] or [[miniskirt]] that is colored [[green]].,General,
651,71382,,,white_pantyhose,[[Pantyhose]] that is white.,General,
652,68917,,,bent_over,"Legs (or at least thighs) vertical, with the torso bent over horizontally and [[ass]] sticking out.",General,
653,68802,,,white_ribbon,A [[ribbon]] that's colored [[white]].,General,
654,68293,,,star_(sky),Cosmic bodies that can be seen during the [[night]] / [[night sky]].,General,
655,68326,,,brown_shoes,[[Shoes]] that are colored brown.,General,
656,68244,,,black_coat,A [[coat]] that is colored [[black]].,General,
657,68116,,,loafers,"A slip on [[shoes|dress shoe]] with a flat broad heel. Created in the most basic color of brown and black, and worn by both genders. Worn quite often with [[casual|casual clothing]], [[business suit|business suits]], and [[school uniform|school uniforms]].",General,
658,67890,,,red_nails,[[Fingernails]] and/or [[toenails]] that are colored red.,General,
659,67514,,,school_swimsuit,"A standard school-issued [[one-piece swimsuit]] usually blue, black, white or grey in color sometimes with the wearer's name written or printed on a white [[name tag]] stitched across the chest. The style has evolved over the years.",General,
660,67782,,,monster_girl,"Part-human, part-monster girls. Common examples include:",General,
661,66339,,,staff,A long stick usually for casting magic or fighting.,General,
662,66256,,,single_thighhigh,A character wearing a [[thighhighs|thighhigh]] on only one leg.,General,
663,65787,,,tan,Skin darkened due to exposure to the sun.,General,
664,65976,,,group_sex,Group sex is any [[tag group:sex acts|sex act]] involving more than two participants at the same time.,General,
665,65613,,,instrument,An instrument used for playing [[music]].,General,
666,65772,,,light_particles,"Light particles are either glowing or illuminating objects, usually very small in size and come in clusters, added to enhance an image or for special effects. (See post #7448569, post #6228) Normally can be seen along with ray of light coming from a window. (emulating the effect when light struck against dust particles in real life)",General,
667,65555,,,no_pants,"Wearing a top and [[underwear]], but no bottoms. For example, wearing a [[shirt]] and [[panties]], but no [[pants]] or [[skirt]]. See [[bottomless]] for when a character isn't wearing bottoms [i]or[/i] underwear (they're completely naked from the waist down).",General,
668,65530,,,shaded_face,When the upper face or eyes are shadowed without a tangible light source.,General,
669,65493,,,all_fours,"Hands and knees on the floor like a standing four-legged animal. Refers more to the posture really, so at least one hand and one knee or foot on the floor, with the body itself off the ground. If both knees are off the ground, it's [[bear position]].",General,
670,65400,,,armband,"A piece of cloth worn around the arm over the sleeve of other clothing to mark the wearer as belonging to group, having a certain rank or role, or being in a particular state or condition. It is also used just for fashion.",General,
671,64631,,,hat_bow,"A [[bow]] attached to a [[hat]], often appears alongside a [[hat ribbon]].",General,
672,64485,,,white_sailor_collar,A [[sailor collar]] that is colored [[white]].,General,
673,64465,,,knees_up,"When one's knees are in the air as a result of [[sitting]], [[lying]] or even [[floating]] with bent legs.",General,
674,64436,,,meme,"A meme is a concept of any sorts (image, video, song, etc.) that spreads from person to person (through the Internet, popular culture, etc.) within a culture, to the point that it becomes part of that culture, acting in a way as the cultural analogue to genes (at least, in the more traditional sense of memes, not the current usage).",General,
675,64378,,,5girls,An image containing five female characters. Male characters may also be present in addition to the female characters.,General,
676,64004,,,dot_nose,"A dot ( · ), representing someone's nose.",General,
677,63658,,,towel,"A piece of absorbent fabric used for [[wiping]].  Often features in [[bath]], [[onsen]], and [[beach]] scenes.",General,
678,63609,,,box,Any cubic or rectangular container used to hold something inside it.,General,
679,63304,,,white_sleeves,"A pair of sleeves that are colored [[white]]. The sleeves have to either be [[detached sleeves|detached]], or differently colored from the rest of the garment the character is wearing (such as [[raglan sleeves]]).",General,
680,63276,,,trap,"A male character who looks female. Also known as femboy, or less frequently as tomgirl.",General,
681,62964,,,polearm,Close combat [[weapon]] in which the main fighting part of the weapon is placed on the end of a long shaft.,General,
682,62946,,,lipstick,A [[makeup]] product used to apply color to the [[lips]].,General,
683,62927,,,highleg_leotard,"A [[leotard]] with a much [[highleg|higher legline]] than usual, showing off more of the wearer's hips.",General,
684,62909,,,side_braid,"A single [[braid]] hanging on the side of the face, anywhere other than in front of the ears.",General,
685,62798,,,hair_over_shoulder,Hair that is resting over the shoulder rather than hanging down the back.,General,
686,62658,,,claws,"Long pointed nails on the paws of an animal, or a person with animal-like claws.",General,
687,64978,,,bat_wings,"The [[wings]] of a [[bat (animal)|]], typically associated with [[demon|demons]].",General,
688,64615,,,china_dress,"A form-fitting, Chinese [[dress]] that has [[side slit]]s up (usually) both legs and a [[mandarin collar]].",General,
689,62253,,,butterfly,"A butterfly is any of several groups of mainly day-flying [[bug|insects]] of the order Lepidoptera, the butterflies and [[moth|moths]]. Like other holometabolous insects, butterflies' life cycle consists of four parts, egg, [[larva]], pupa and adult.",General,
690,61808,,,ribbon_trim,"Any [[ribbon]] threaded through the edges of an article of clothing, for decorative or supportive purposes.",General,
691,61722,,,grey_skirt,A [[skirt]] or [[miniskirt]] that is colored [[grey]].,General,
692,61705,,,scenery,"An image that pays special attention to the scene or landscape of its composition, usually favoring it over any [[no humans|characters]] present.",General,
693,61592,,,low_ponytail,"A [[ponytail]] that is tied lower on the person's head, typically near the nape of the neck. Contrast with [[high ponytail]].",General,
694,61702,,,steam,"Usually used to describe water vapour rather than actual steam, which is hard to see.",General,
695,61651,,,bondage,"Bondage refers to the [i]purposeful[/i] physical restraint of a person, as with [[rope|ropes]], cords, or [[cuffs]], for [i]sexual[/i] purposes.",General,
696,61460,,,undressing,"When someone is in the middle of taking off their clothes. When you are unsure whether clothes are being taken off or put on, use this tag. If they are clearly being put on, use [[dressing]] instead.",General,
697,61318,,,anger_vein,"A symbol used to represent [[angry|anger]] or [[annoyed|annoyance]]. It consists of three or four curved lines in a cross shape, representing a bulging vein or artery, like so: 💢.",General,
698,61262,,,letterboxed,An image technique where bars are displayed at the bottom and top of a picture.,General,
699,61089,,,couch,A large upholstered piece of furniture designed to seat several people. Also known as a sofa.,General,
700,61151,,,drooling,When [[saliva]] leaks from the mouth.,General,
701,61013,,,striped_thighhighs,[[Thighhighs]] or [[over-kneehighs]] that are [[striped]].,General,
702,60990,,,strapless_dress,"A [[dress]] that has no shoulder straps, attached sleeves, [[halterneck]] or other shoulder- or collarbone-related attire holding up the upper portion of the dress, instead relying on the tightness of the dress (usually around the hip or waist area) to keep it in place. The shoulders and upper chest area should be [[bare shoulders|bare]], which also implies the lack of a strapped [[bra]].",General,
703,60688,,,candy,"Candy, specifically sugar candy, is a confection made from a concentrated solution of sugar in water, to which flavorings and colorants are added. Candies come in numerous colors and varieties and have a long history in popular culture. Outside the United States, it is referred to as sweets or confectioneries.",General,
704,60608,,,outline,A person or item in the image is surrounded by an outline (usually white or black and distinct from any [[lineart]] in the image) which visibly separates it from the background.,General,
705,60520,,,revealing_clothes,"A shameless and impractical set of clothes that do not leave much to the imagination when worn. With some designs, the wearer may as well be [[nude]] for all the cover they provide.",General,
706,60227,,,musical_note,Used when a character is [[singing]] or carefree. Can also be used to cover musical notes in the background or on objects.  Covers all musical notation symbols beyond just notes.,General,
